study,algo,problem,dim,run,value
scale,LSHADE,N30,60,20,8.5773524235e-01
scale,GWO,N8,16,20,9.2081446213e-01
scale,GWO,N12,24,20,8.5986281362e-01
scale,GWO,N20,40,20,7.7496835993e-01
scale,GWO,N30,60,20,7.2900058039e-01
scale,COA,N8,16,20,8.5732956946e-01
scale,COA,N12,24,20,8.7735357809e-01
scale,COA,N20,40,20,8.3804624483e-01
scale,COA,N30,60,20,8.5754605671e-01
scale,MSSBOA,N8,16,21,8.9585228789e-01
scale,MSSBOA,N12,24,21,9.2316172781e-01
scale,MSSBOA,N20,40,21,8.8458193433e-01
scale,MSSBOA,N30,60,21,8.6066865435e-01
scale,SBOA,N8,16,21,9.4128981466e-01
scale,SBOA,N12,24,21,9.3297792018e-01
scale,SBOA,N20,40,21,8.8608429068e-01
scale,SBOA,N30,60,21,8.6722002010e-01
scale,RIME,N8,16,21,8.8436537118e-01
scale,RIME,N12,24,21,9.1546206131e-01
scale,RIME,N20,40,21,8.5904022827e-01
scale,RIME,N30,60,21,8.3847273973e-01
scale,LSHADE,N8,16,21,9.1088210988e-01
scale,LSHADE,N12,24,21,9.1287188482e-01
scale,LSHADE,N20,40,21,8.7818027877e-01
scale,LSHADE,N30,60,21,8.5637863360e-01
scale,GWO,N8,16,21,9.5503347718e-01
scale,GWO,N12,24,21,8.9986962600e-01
scale,GWO,N20,40,21,7.4036152801e-01
scale,GWO,N30,60,21,7.0256651264e-01
scale,COA,N8,16,21,9.0508793459e-01
scale,COA,N12,24,21,8.9888486593e-01
scale,COA,N20,40,21,8.8246395599e-01
scale,COA,N30,60,21,8.1630601295e-01
scale,SBOA,N8,16,22,9.5942818008e-01
scale,SBOA,N12,24,22,9.2419133141e-01
scale,SBOA,N20,40,22,8.8930683907e-01
scale,SBOA,N30,60,22,8.6993809469e-01
scale,MSSBOA,N8,16,22,9.1977661072e-01
scale,MSSBOA,N12,24,22,9.2896517354e-01
scale,MSSBOA,N20,40,22,8.8738679646e-01
scale,MSSBOA,N30,60,22,8.6716512796e-01
scale,RIME,N8,16,22,8.5220080221e-01
scale,RIME,N12,24,22,9.0913985634e-01
scale,RIME,N20,40,22,8.6573740606e-01
scale,RIME,N30,60,22,8.4382746086e-01
scale,LSHADE,N8,16,22,9.3445164013e-01
scale,LSHADE,N12,24,22,9.1474883018e-01
scale,LSHADE,N20,40,22,8.7884955025e-01
scale,LSHADE,N30,60,22,8.6126594164e-01
scale,GWO,N8,16,22,9.3954573744e-01
scale,GWO,N12,24,22,9.0252163042e-01
scale,GWO,N20,40,22,7.6116099513e-01
scale,GWO,N30,60,22,6.7672655003e-01
scale,COA,N8,16,22,9.1016683541e-01
scale,COA,N12,24,22,8.6157899954e-01
scale,COA,N20,40,22,8.3972954937e-01
scale,COA,N30,60,22,8.1421420029e-01
scale,MSSBOA,N8,16,23,9.2505518277e-01
scale,MSSBOA,N12,24,23,9.4409890604e-01
scale,MSSBOA,N20,40,23,8.9116005120e-01
scale,MSSBOA,N30,60,23,8.6580012720e-01
scale,SBOA,N8,16,23,9.4084557974e-01
scale,SBOA,N12,24,23,9.3726561977e-01
scale,SBOA,N20,40,23,8.8190214108e-01
